Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Френк Раян,Вірусосфера. Від застуди до COVID – навіщо людству віруси. Френк Раян.,,,,,Yakaboo Publishing,,9786177544707,
Даша Малахова,Моя кухня. Даша Малахова.,,,,,Yakaboo Publishing,,9786177544714,
Озан Варол,"Думай, як у NASA. Звички, ідеї та стратегії для досягнення неможливого.",,,,,Yakaboo Publishing,,9786177544721,
Махо Мольфіно,"Покінчи з ""хорошою дівчинкою"". Як переписати застарілі правила, відкрити в собі джерело сили і твори.",,,,,Yakaboo Publishing,,9786177544738,
Марк Хоніґсбом,Століття пандемій. Марк Хоніґсбом.,,,,,Yakaboo Publishing,,9786177544745,
Джек МакҐовен,"Історія відеоігор в коміксах. Джонатан Геннесі, Джек МакҐовен.",,,,,Yakaboo Publishing,,9786177544752,
Лісл Кларк,"Не купуй нічого, май усе. Радість витрачати менше, ділитися і робити це все усвідомлено.",,,,,Yakaboo Publishing,,9786177544776,
Оксана Мороз,Боротьба за правду: Як мій дядько переміг брехню. Оксана Мороз.,,,,,Yakaboo Publishing,,9786177544783,
,Звільнись від емоційного насилля. Як розірвати замкнене коло приниження і сорому в стосунках.,,,,,Yakaboo Publishing,,9786177544790,
Мортен Ельбек,Одне життя. Як ми розучилися жити змістовно. Мортен Ельбек.,,,,,Yakaboo Publishing,,9786177544806,
Корі Мускара,Не проґавте свого життя. Як по-справжньому бути тут і зараз.,,,,,Yakaboo Publishing,,9786177544813,
Альдо Сом,Wine Simple. Альдо Сом.,,,,,Yakaboo Publishing,,9786177544820,
Інбал Аріелі,Хуцпа. Чому Ізраїль став світовим центром інновацій та підприємництва.,,,,,Yakaboo Publishing,,9786177544837,
Славенка Дракуліч,"Кафе ""Європа"". Славенка Дракуліч. Повернення. Як пережити посткомунізм.",,,,,Yakaboo Publishing,,9786177544868,
Лінда Скотт,Економіка з двома іксами. Лінда Скотт.,,,,,Yakaboo Publishing,,9786177544875,
Анна Топіліна,Люби без ілюзій. Як звільнитися від токсичних стереотипів і побудувати здорові стосунки.,,,,,Yakaboo Publishing,,9786177544882,
Йонас Лейонхуфвуд,Spotify навиворіт. Як шведський стартап здійснив музичну революцію.,,,,,Yakaboo Publishing,,9786177544899,
Донн Керен,Твій щасливий одяг. Як психологія моди допоможе покращити стиль і життя.,,,,,Yakaboo Publishing,,9786177544905,
Емі Шах,Ми такі задовбані. Перевірений спосіб подолати вигорання й відновити енергію.,,,,,Yakaboo Publishing,,9786177544929,
Вільям Б.Ірвін,Жити змістовно. Філософія радості від античних стоїків. Вільям Б.,,,,,Yakaboo Publishing,,9786177544936,
Ребекка Гайсс,Інстинкт. Ребекка Гайсс.,,,,,Yakaboo Publishing,,9786177544943,
,Нехай буде вода. Сет М. Сіґел.,,,,,Yakaboo Publishing,,9786177544950,
Дмитро Дубілет,Що ви несете? Дмитро Дубілет.,,,,,Yakaboo Publishing,,9786177544967,
Любомир Остапів,Любов та бюджет. Домашні фінанси для сімейних пар на шляху до фінансової свободи.,,,,,Yakaboo Publishing,2022.0,9786177544974,
Любомир Остапів,"Книга""Мисливець на вовків.Три польські дуети.",,,,,Yakaboo Publishing,,9786177544974,
Наталі Вотсон,Пиво. Еволюція смаку в 50 стилях.,,,,,Yakaboo Publishing,,9786177544981,
Сью Стюарт-Сміт,Садотерапія. Як позбутися бур’янів у голові. Сью Стюарт-Сміт.,,,,,Yakaboo Publishing,,9786177544998,
,"Я, Ніна. Яніна Соколова, Ольга Купріян.",,,,,Yakaboo Publishing,,9786177820221,
Ґрейс Лорден,Мисли масштабно. Ґрейс Лорден.,,,,,Yakaboo Publishing,,9786177933006,
Аніта Мурджані,Сила емпатів. Аніта Мурджані.,,,,,Yakaboo Publishing,,9786177933013,
Білл Меслер,"Корисні самонавіювання. Сила й парадокс нашого мозку, схильного до самообману.",,,,,Yakaboo Publishing,,9786177933020,
Керолайн Вільямс,Рухайся! Як тіло формує наші думки та почуття.,,,,,Yakaboo Publishing,,9786177933037,
Софі Гардах,Мови нам на користь. Софі Гардах.,,,,,Yakaboo Publishing,,9786177933044,
Това Лей,Замахана жінка в розквіті літ. Това Лей.,,,,,Yakaboo Publishing,,9786177933051,
Морґан Гаусел,Психологія грошей. Морґан Гаусел.,,,,,Yakaboo Publishing,,9786177933068,
Вільям Дерезевіц,Смерть митця. Як творчі люди виживають у часи мільярдерів і технологічних гігантів.,,,,,Yakaboo Publishing,,9786177933075,
Ніна Рестієрі,"Мама має право. Як подолати кризу материнства, позбутися почуття провини і знайти час на себе.",,,,,Yakaboo Publishing,,9786177933082,
Адам Ґрант,Подумай знову. Сила розуміння власного незнання.,,,,,Yakaboo Publishing,2022.0,9786177933099,
