Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"Джорджо Салаті,Кристіан Корнія",Бріна. Кожен друг - це пригода,Українська мова,,,,Ранок,2023.0,9786170971388.0,Комікси
"Creative Assembly,Пол Дейвіс",Артбук Ігровий світ трилогії Total War: Warhammer,Українська мова,,,,Mal'opus,2023.0,9786177756599.0,Комп'ютерні технології
"Джаред К. Флетчер,Метт Вілсон,Кліфф Чян,Браян К. Вон",Газетярки. Книга 1,Українська мова,,,,Богдан,2023.0,9789661080989.0,Комікси
Неґі Харуба,П'ять наречених близнят. Том 1,Українська мова,,,,Наша Ідея,2023.0,9786178109707.0,Комікси
"Паола Антіста,Сільвія Дуе",Чароліна.Том 3.Моє фантастичне походження,Українська мова,,,,Наша Ідея,2023.0,9786178109608.0,Комікси
"Одрі Альветт,Нора Моретті,Сітро Треб",Сад фей Том 1. Хранителька фей,Українська мова,,,,Наша Ідея,2023.0,9786178109554.0,Комікси
"БеКа,Боб","Школа монстренят Том 1. Важко, важко бути Лузярою",Українська мова,,,,Наша Ідея,2023.0,9786178109738.0,Комікси
Шінґо Хонда,Happy Land. Том 1,Українська мова,,,,Наша Ідея,2023.0,9786178109592.0,Комікси
"Юваль Ной Харарі,Давід Вандермойленд,Даніель Касанаве",Sapiens. Основи цивілізації. Том 2,Українська мова,,,,BookChef,2023.0,9786175481516.0,Комікси
"Пйотр Ковальський,Алеш Кот",Bloodborne. Том 3. Вороняча пісня,Українська мова,,,,Mal'opus,2023.0,9786177756803.0,Комікси
"Марк Ґуґґенгайм,Говард Чайкін",Блейд. Том 1. Знову Нечисть,Українська мова,,,,Varvar Publishing,2022.0,9786179524714.0,Комікси
"Лендро Фернандес,Льюїс Лароза,Ґарт Енніс",Каратель MAX. Том 1. Видання делюкс,Українська мова,,,,Varvar Publishing,2022.0,9786179524707.0,Комікси
"Джон Марк ДеМаттейс,Майк Зек",Дивовижна Людина-павук. Останнє полювання Крейвена,Українська мова,,,,Varvar Publishing,2023.0,9786179524721.0,Комікси
Говард Філіпс Лавкрафт,Поклик Ктулху,Українська мова,,,,Varvar Publishing,2023.0,9786179524738.0,Комікси
Конами Каната,Чі. Життя однієї киці. Том 9,Українська мова,,,,Наша Ідея,2023.0,9786178109578.0,Комікси
Дана Сімпсон,Фібі та єдинорозя проти гоблінів. Книга 3,Українська мова,,,,Ранок,2023.0,9786170974549.0,Комікси
"Браян Фрескі,Елена Тріоло",Електра,Українська мова,,,,Ранок,2023.0,9786170982117.0,Комікси
"Еван Стенлі,Трейсі Ядлі",Їжак Сонік. Том 3. Битва за острів Янгола,Українська мова,,,,Mimir Media,2023.0,9786177984329.0,Комікси
"Фрауке Шойнеманн,Ніколай Ренґер",Вінстон. Найпотаємніші справи. Книга 1. Прокляття вартового кота,Українська мова,,,,BookChef,2023.0,9786175481585.0,Комікси
Акіхіто Цікуші,Зроблено в Безодні. Том 2,Українська мова,,,,Наша Ідея,2023.0,9786178109509.0,Комікси
