Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"І. Л. Мед,Т. Є. Рубля,Т. Л. Щеглова",Мистецтво. 3 клас: Робочий зошит,Українська мова,,,,Ранок,2020.0,9786170966056.0,"Музика, мистецтво (Школярам та абітурієнтам)"
"Большакова І. О.,Пристінська М. С.",Українська мова та читання. Навчальний посібник для 2 класу ЗЗСО (у 6-ти частинах). Частина 6,Українська мова,,,,Ранок,2024.0,9786170987921.0,Українська мова (Школярам та абітурієнтам)
Наземнова Т. О.,"Робочий зошит Мистецтво 3 клас (до підр. Аристової, Калініченко)",Українська мова,,,,Ранок,2020.0,9786170966049.0,Робочі зошити  (Школярам та абітурієнтам)
"Большакова І. О.,Пристінська М. С.",Українська мова та читання. Навчальний посібник для 2 класу ЗЗСО (у 6-ти частинах). Частина 5,Українська мова,,,,Ранок,2024.0,9786170987914.0,Українська мова (Школярам та абітурієнтам)
Гісь О.М.,"Математика. 2 клас. Тематичні діагностувальні роботи. До підручника/навчального посібника Гісь О.М.,",Українська мова,,,,"Ранок, Харьков",2024.0,9786170934857.0,Математика (Школярам та абітурієнтам)
Наземнова Т. О.,Альбом_Мистецтво 3 клас,Українська мова,,,,Ранок,2020.0,9786170965981.0,"Музика, мистецтво (Школярам та абітурієнтам)"
В. В. Паращич,Українська мова. Збірник диктантів і переказів. 5—6 класи,Українська мова,,,,Основа,2023.0,9786170041500.0,Українська мова (Школярам та абітурієнтам)
"Большакова І. О.,Пристінська М. С.",Українська мова та читання. Навчальний посібник для 2 класу ЗЗСО (у 4-х частинах). Частина 4,Українська мова,,,,Ранок,2024.0,9786170987907.0,Українська мова (Школярам та абітурієнтам)
"Большакова І. О.,Пристінська М. С.",Українська мова та читання. Навчальний посібник для 2 класу ЗЗСО (у 6-ти частинах). Частина 2,Українська мова,,,,Ранок,2024.0,9786170987884.0,Українська мова (Школярам та абітурієнтам)
"Большакова І. О.,Пристінська М. С.",Українська мова та читання. Навчальний посібник для 2 класу ЗЗСО (у 6-ти частинах). Частина 3,Українська мова,,,,Ранок,2024.0,9786170987891.0,Українська мова (Школярам та абітурієнтам)
"Онопрієнко О. В.,Скворцова С. О.",Математика. Навчальний посібник для 2 класу ЗЗСО (у 3-х частинах). Частина 3,Українська мова,,,,Ранок,2024.0,9786170987860.0,Математика (Школярам та абітурієнтам)
"Онопрієнко О. В.,Скворцова С. О.",Математика. Навчальний посібник для 2 класу ЗЗСО (у 3-х частинах). Частина 2,Українська мова,,,,Ранок,2024.0,9786170987853.0,Математика (Школярам та абітурієнтам)
"Онопрієнко О. В.,Скворцова С. О.",Математика. Навчальний посібник для 2 класу ЗЗСО (у 3-х частинах). Частина 1,Українська мова,,,,Ранок,2024.0,9786170987846.0,Математика (Школярам та абітурієнтам)
