Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"Gwon Gyeoeul,Suol",Єдиний фінал лиходіїв – смерть. Том 1,Українська мова,,,,Mimir Media,2024,9786177984176,Манга
"Dubu,Chugong",Тільки я візьму новий рівень. Том 4,Українська мова,,,,Mimir Media,2022,9786177984190,Манга
"Dubu,Chugong",Тільки я візьму новий рівень. Том 5,Українська мова,,,,Mimir Media,2022,9786177984206,Манга
Chugong,Тільки я візьму новий рівень. Том 3. Альтернативна обкладинка,Українська мова,,,,Mimir Media,2024,9786177984251,Манга
"Milcha,Whale",Раеліана: Наречена герцога за контрактом. Том 3,Українська мова,,,,Mimir Media,2023,9786177984275,Манга
Usonan,Магія поверненого має бути особливою. Том 2,Українська мова,,,,Mimir Media,2023,9786177984282,Манга
Ішікі Ічіка,Берсерк Ненажерливості Том 1,Українська мова,Юлія Саржан,,,Mimir Media,2023,9786177984305,Манга
Chugong,Тільки я візьму новий рівень. Том 1. Альтернативна обкладинка,Українська мова,,,,Mimir Media,2024,9786177984411,Манга
Chugong,Тільки я візьму новий рівень. Том 2. Альтернативна обкладинка,Українська мова,,,,Mimir Media,2024,9786177984428,Манга
"Рюто,Сасаюкі,Яппен",Виживання в іншому світі з моєю повелителькою. Том 1,Українська мова,,,,Mimir Media,2024,9786177984435,Манга
"Каеруда Амеко,Каджія",Щоденник тата-дракона: виховання наймогутнішої дівчинки. Том 1. Альтернативна обкладинка,Українська мова,,,,Mimir Media,2024,9786177984510,Манга
"Chugong,Dubu",Тільки я візьму новий рівень. Том 6,Українська мова,,,,Mimir Media,2023,9786177984527,Манга
"Milcha,Whale",Реліана: Наречена герцога за контрактом. Том 4,Українська мова,,,,Mimir Media,2024,9786177984541,Манга
Цукія,Нянька-якудза для доньки боса. Том 1,Українська мова,,,,Mimir Media,2024,9786177984596,Манга
Ішікі Ічіка,Берсерк Ненажерливості. Том 2,Українська мова,,,,Mimir Media,2024,9786177984626,Манга
Ерін Гантер,"Книга ""Коти - вояки. Манґа 1. Пригоди Сіросмуга. Зниклий вояк""",Українська мова,,,,АССА,2022,9786177995431,Манга
Ерін Гантер,"Книга ""Коти - вояки. Манґа 2. Пригоди Сіросмуга. Прихисток вояка""",Українська мова,,,,АССА,2022,9786177995448,Манга
Ерін Гантер,"Книга ""Коти - вояки. Манґа 3. Пригоди Сіросмуга. Повернення вояка""",Українська мова,,,,АССА,2022,9786177995455,Манга
Камоме Шірахама,Ательє чаклунських капелюхів. Том 6,Українська мова,,,,Наша Ідея,2022,9786178109011,Манга
Міцу Ідзумі,"Чарівник Бібліотеки, Том 2",Українська мова,,,,Наша Ідея,2022,9786178109059,Комікси
Макото Юкімура,"Vinland Saga (Сага про Вінланд), Том 3",Українська мова,,,,Наша Ідея,2022,9786178109066,Манга
Валенте Тоні,Radiant. Том 5,Українська мова,,,,Наша Ідея,2022,9786178109127,Манга
Хірому Аракава,Сталевий Алхімік (Fullmetal Alchemist). Том 1,Українська мова,,,,Наша Ідея,2023,9786178109141,Манга
Макото Юкімура,"Vinland Saga (Сага про Вінланд), Том 4",Українська мова,,,,Наша Ідея,2023,9786178109172,Манга
Ічіґо Такано,Orange. Том 1,Українська мова,,,,Наша Ідея,2023,9786178109226,Манга
Ічіґо Такано,Orange. Том 2,Українська мова,,,,Наша Ідея,2023,9786178109233,Манга
Ічіґо Такано,Orange. Том 3,Українська мова,,,,Наша Ідея,2023,9786178109240,Манга
Хірому Аракава,Сталевий Алхімік (Fullmetal Alchemist). Том 2,Українська мова,,,,Наша Ідея,2023,9786178109257,Манга
Хірому Аракава,Сталевий Алхімік. Том 3,Українська мова,,,,Наша Ідея,2023,9786178109264,Манга
Шіро Куроі,Левіафан. Том 1,Українська мова,,,,Наша Ідея,2023,9786178109288,Манга
Масаакі Ніномія,Ґаннібал .Том 5,Українська мова,,,,Наша Ідея,2023,9786178109295,Манга
Тоні Валенте,Radiant. Том 6,Українська мова,,,,Наша Ідея,2023,9786178109325,Манга
суу Морішіта,Кохання на кінчиках пальців. Том 5,Українська мова,,,,Наша Ідея,2023,9786178109356,Манга
Дерр'єн Ф.,Фріжель і Флаффі. Том 5. Загублений острів,Українська мова,,,,Наша Ідея,2023,9786178109363,Манга
Камоме Шірахама,Ательє чаклунських капелюхів. Том 7,Українська мова,,,,Наша Ідея,2023,9786178109370,Манга
Макото Юкімура,Сага про Вінланд Том 5,Українська мова,,,,Наша Ідея,2023,9786178109394,Манга
Бун-о Фуджісава,Кривавий Марс. Том 1,Українська мова,,,,Наша Ідея,2023,9786178109400,Манга
"Бун-о Фуджісава,Каракара Кемурі",Кривавий Марс. Том 2,Українська мова,,,,Наша Ідея,2023,9786178109417,Манга
Кен Вакуі,Токійські месники Том 5,Українська мова,,,,Наша Ідея,2023,9786178109424,Манга
Міцу Ідзумі,Чарівник бібліотеки Том 3,Українська мова,,,,Наша Ідея,2023,9786178109431,Манга
Тоні Валенте,Radiant. Том 7,Українська мова,,,,Наша Ідея,2023,9786178109455,Манга
Шіро Куроі,Левіафан. Том 2,Українська мова,,,,Наша Ідея,2023,9786178109462,Манга
Акіхіто Цікуші,"Зроблено в Безодні ,том1",Українська мова,,,,Наша Ідея,2023,9786178109493,Манга
"Каракара Кемурі,Бун-о Фуджісава",Кривавий Марс Том 3,Українська мова,,,,Наша Ідея,2023,9786178109530,Манга
Акіхіто Цікуші,Зроблено в Безодні  Том3,Українська мова,,,,Наша Ідея,2023,9786178109547,Манга
