Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"Тарнавська,Заїка А.",Зошит з каліграфії 1-4 клас. Тренувальні завдання.,Українська мова,,,,ЗІРКА,2017.0,9786176341345.0,"Письмо, прописи, моторика"
Коваль Н.М.,Записник-планер школяра з наліпками 2024,Українська мова,,,,АРТ,2023.0,9789667613860.0,"Школярам, абітурієнтам"
Сіліч С.,Охайне письмо. Зошит 2,Українська мова,,,,АРТ,2023.0,9786170976123.0,"Письмо, прописи, моторика"
Казакіна О.М.,Маленькі українознавці. Святкові звичаї в Україні,Українська мова,,,,Кенгуру,2023.0,9786170981585.0,Довкілля
Каспарова Юлія Вадимівна,Розумна Мурка,Українська мова,,,,Ранок,2023.0,9786170983640.0,"Читання, мовлення, логопедія"
Сіліч С.,Лісові прописи,Українська мова,,,,Ранок,2023.0,9786170983534.0,"Письмо, прописи, моторика"
Сіліч С.,Морські прописи,Українська мова,,,,Ранок,2023.0,9786170983527.0,"Письмо, прописи, моторика"
Моісеєнко  С.,Пригодницькі прописи. Гайда до лісу,Українська мова,,,,Ранок,2023.0,9786170983558.0,"Письмо, прописи, моторика"
,Starke Verben 105 німецька,Українська / Німецька,,,,English Student,2023.0,9786177702756.0,Іноземні мови
"Богданович М.В.,Назаренко А.А.",Математика навчальний посібник для 1 класу Частина 3,Українська мова,,,,Основа,2023.0,9786170042002.0,"Математика, рахування"
Панченко С. Ю.,Математичні квести. 5 клас,Українська мова,,,,Ранок,2023.0,9786170982148.0,"Математика, рахування"
"Онопрієнко О. В.,Скворцова С. О.",Математика. 4 клас. Навчальний зошит у 4 ч. Ч. 1,Українська мова,,,,Ранок,2021.0,9786170973023.0,"Математика, рахування"
"Губарєва С. С.,Доценко І. В.,Євчук О. В.",РЗ. Англійська мова. 1 кл. (до підр. Start Up!) + прописи,Українська / Англійська,,,,Ранок,2021.0,9786170955265.0,Іноземні мови
"Онопрієнко О. В.,Скворцова С. О.",Математика. Навчальний посібник для 1 класу  Частина 2,Українська мова,,,,Ранок,2023.0,9786170982582.0,"Математика, рахування"
"Гісь О.М.,Філяк І.В.",Математика навчальний посібник для 1 класу закладів загальної середньої освіти (у 3-х частинах). Частина 3,,,,,Ранок,2023.0,9786170982728.0,"Математика, рахування"
"Гісь О.М.,Філяк І.В.",Математика навчальний посібник для 1 класу закладів загальної середньої освіти (у 3-х частинах). Частина 2,Українська мова,,,,Ранок,2023.0,9786170982711.0,"Математика, рахування"
Цепова І. В.,Українська мова 1 клас. Прописи з калькою 2 частина,Українська мова,,,,Ранок,2018.0,9786170931023.0,"Письмо, прописи, моторика"
Цепова І. В.,"Прописи з калькою. 1 кл. До букваря І.В. Цепової, Н.О. Воскресенської. У 2-х частинах. Ч. 1",Українська мова,,,,Ранок,2018.0,9786170931016.0,"Письмо, прописи, моторика"
"Онопрієнко О. В.,Скворцова С. О.",Математичні прописи. 1 клас (програма НУШ),Українська мова,,,,Ранок,2023.0,9786170951366.0,"Математика, рахування"
"Косенчук О.Г.,Гавриш Н.",Хрестоматія для дошкільників з національно-патріотичного виховання,Українська мова,,,,Ранок,2023.0,9786170982315.0,"Читання, мовлення, логопедія"
,Виховуємо громадянина-патріота України. 5-11 класи,Українська мова,,,,Основа,2023.0,9786170041524.0,Методика для вихователів
Сікора Ю.,Велика книга дошкільнятка. Скоро до школи,Українська мова,,,,УЛА,2023.0,9786175441879.0,Дошкільне навчання
"Онопрієнко О. В.,Скворцова С. О.",Математика. 3 клас. Навчальний зошит,Українська мова,,,,Ранок,2020.0,9786170965745.0,"Математика, рахування"
"Онопрієнко О. В.,Скворцова С. О.",Математика. 3 клас. Навчальний зошит,Українська мова,,,,Ранок,2020.0,9786170965769.0,"Математика, рахування"
"Онопрієнко О. В.,Скворцова С. О.",Математика. 3 клас. Робочий зошит у 2 частинах. Частина 2,Українська мова,,,,Ранок,2020.0,9786170965790.0,"Математика, рахування"
Пристінська М. С.,Українська мова. 2 клас. Робочий зошит,Українська мова,,,,Ранок,2019.0,9786170957986.0,"Математика, рахування"
"Большакова І. О.,Пристінська М. С.",Українська мова. 2 клас. Робочий зошит,Українська мова,,,,Ранок,2019.0,9786170955999.0,"Математика, рахування"
Погоріла А.Г.,Навколишній світ. Робочий зошит. 4-5  років,Українська мова,,,,Основа,2023.0,9786170040732.0,Довкілля
О. А. Шевцова,Природа 4-5 років. Робочий зошит,Українська мова,,,,Основа,2023.0,9786170040725.0,Довкілля
О. А. Шевцова,Мовлення. Робочий зошит. 4-5  років.За оновленим Базовим компонентом дошкільної освіти. ГДШ006,Українська мова,,,,Основа,2023.0,9786170040718.0,"Розвиток мови, логопедія"
Погоріла А.Г.,Математика. Робочий зошит. 3-4 років,Українська мова,,,,Основа,2023.0,9786170041487.0,"Математика, рахування"
,"ВАУ - математика для дітей 8-9 років. Ломиголовки, лабіринти, ігри-пошуканки, числові ребуси",Українська мова,,,,Основа,2023.0,9786170041821.0,"Математика, рахування"
О. А. Шевцова,Математика. Робочий зошит. 4-5  років,Українська мова,,,,Основа,2023.0,9786170040701.0,"Математика, рахування"
Погоріла А.Г.,Інтегровані заняття. Розвиток мовлення. Ознайомлення з природою та навколишнім світом. Робочий зошит. 3-4  роки. ГДШ013,Українська мова,,,,Основа,2023.0,9786170041784.0,Логіка і мислення
,"ВАУ математика для дітей 7-8 років. Ломиголовки, лабіринти, ігри-пошуканки, числові ребуси",Українська мова,,,,Основа,2023.0,9786170041753.0,"Математика, рахування"
"Гісь О.М.,Назаренко А.А.,Філяк І.В.",Математика. 4 кл. Робочий зошит,Українська мова,,,,Ранок,2021.0,9786170971517.0,"Математика, рахування"
"Гісь О.М.,Назаренко А.А.,Філяк І.В.",Математика 3 клас. Робочий зошит,Українська мова,,,,Ранок,2020.0,9786170966001.0,"Математика, рахування"
"Гісь О.М.,Назаренко А.А.,Філяк І.В.",Математика 3 клас. Робочий зошит,Українська мова,,,,Ранок,2020.0,9786170965295.0,"Математика, рахування"
"Онопрієнко О. В.,Скворцова С. О.",Математика. 2 клас. Робочий зошит у 2 частинах. Частина 1,Українська мова,,,,,2019.0,9786170951380.0,"Математика, рахування"
Марія Чумарна,Кумедна читанка. Від А до Я.,Українська мова,,,,Богдан,2010.0,9789661003247.0,"Читання, мовлення, логопедія"
О. О. Старова,Математика. 6 клас. Частина I,Українська мова,,,,Основа,2023.0,9786170041586.0,"Математика, рахування"
Горбунова,Англійська мова. 6 клас. Частина 1,Українська мова,,,,Основа,2023.0,9786170041647.0,Іноземні мови
Моісеєнко  С.,Абетка.,Українська мова,,,,Ранок,2023.0,9789667512873.0,"Читання, мовлення, логопедія"
,Прописи-тренажер. Транспорт,Українська мова,,,,Ранок,2023.0,9786177307470.0,"Письмо, прописи, моторика"
Коваль Н. Н.,"Літній інтенсив. Пишемо, міркуємо. Іду в 4 клас",Українська мова,,,,АРТ,2023.0,9786170975874.0,"Математика, рахування"
Коваль Н. Н.,Літній інтенсив. Математика. Іду в 4 клас,Українська мова,,,,АРТ,2023.0,9786170975843.0,"Математика, рахування"
Коваль Н. Н.,Літній інтенсив. Математика. Іду в 3 клас,Українська мова,,,,АРТ,2021.0,9786170971128.0,"Письмо, прописи, моторика"
Коваль Н. Н.,"Літній інтенсив. Пишемо, міркуємо. Іду в 3 клас",Українська мова,,,,АРТ,2021.0,9786170971081.0,"Письмо, прописи, моторика"
Єфіменко В.,Літо майбутніх першоклаників. Подорожуємо світами Фентезі ЦКЛ003,Українська мова,,,,Основа,2023.0,9786170041517.0,Розвиток загальних здібностей
Старова О.,Математика. 6 клас. Бліцоцінювання,Українська мова,,,,Основа,2023.0,9786170041364.0,"Математика, рахування"
Поліщук,Досліджуємо історію і суспільство. 6 клас. Бліцоцінювання. БУЧ008,Українська мова,,,,Основа,2023.0,9786170041357.0,Екологія
