Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Крістіна Нгуєн,Історії про Пандімуна,російська,,,,Yakaboo Publishing,2019.0,9786179514203.0,Казки для дітей
Джулія Дональдсон,Кузюки і Бузюки,Українська мова,,,,Читаріум,2019.0,9786177329540.0,Казки для дітей
,Казкова подорож,Українська мова,,,,Vivat,2019.0,9789669824028.0,Дозвілля і творчість дітей
Джулія Дональдсон,Зоґ,Українська мова,,,,Читаріум,2019.0,9786177329380.0,Пригоди. Історії. Оповідання
"Морфа Хосе Р. Діас,Марассі К.К.,Лопесоса П.М.,Мерседес Палоп Ботелья","Звідки я взявся? Правдиві відповіді на ""незручні"" питання",Українська,,,,Vivat,2019.0,9786176909347.0,Дорослішання. Статеве виховання
Керр  Дж.,Забудькувата киця Мона,Українська мова,,,,Читаріум,2019.0,9786177329304.0,Казки для дітей
,Забави Мімбо Джимбо,Українська мова,,,,Читаріум,2019.0,9786177329021.0,Казки для дітей
Карл Е.,Дуже голодна гусениця,Українська мова,,,,Читаріум,2019.0,9789669745903.0,Пригоди. Історії. Оповідання
Сміт Л.С.,Дім метеликів,Українська мова,,,,Читаріум,2019.0,9786177329168.0,Казки для дітей
Джулія Дональдсон,"""Де моя мама?""",Українська мова,,,,Читаріум,2019.0,9789669745934.0,Казки для дітей
Ганс Кристіан Андерсен,Волшебные сказки Андерсена,російська,,,,Vivat,2019.0,9789669822956.0,Класика дитячої літератури
Свонсон С.М.,Будинок уночі,Українська мова,,,,Читаріум,2019.0,9786177329236.0,Повісті. Оповідання.Проза
Нассар Д .,Архітектори у світі тварин,Українська мова,,,,Читаріум,2019.0,9786177329083.0,Енциклопедії для дітей
Жученко М.,Азбука монстров,російська,,,,Vivat,2019.0,9786176909217.0,Ранній розвиток
Жученко М.,Абетка монстрів,Українська мова,,,,Vivat,2019.0,9786176909224.0,Ранній розвиток
Бйорн Сортланн,Таємниця Венеції,Українська мова,,,,Nebo BookLab Publishing,2019.0,9786177537044.0,Детективи для дітей
Лофтінґ Г.,Історія Доктора Дуліттла,Українська мова,,,,Nebo BookLab Publishing,2019.0,9786177537969.0,Повісті. Оповідання.Проза
Бернетт Ф.Х.,Таємний сад,Українська мова,,,,Nebo BookLab Publishing,2019.0,9786177537334.0,Класика дитячої літератури
Едвард ван де Вендел,Один мільйон метеликів,російська,,,,Nebo BookLab Publishing,2019.0,9786177537051.0,Повісті. Оповідання.Проза
Едвард ван де Вендел,Один миллион бабочек,російська,,,,Nebo BookLab Publishing,2019.0,9786177537099.0,Повісті. Оповідання.Проза
Анна Багряна,Вітрова гора,Українська мова,,,,Наш формат,2019.0,9786177973378.0,Фантастика. Фентезі для дітей
Коваль Н. Н.,Час і гроші (у),Українська мова,,,,Ранок,2019.0,9789667504458.0,Пригоди. Історії. Оповідання
Коваль Н. Н.,Додаємо. Віднімаємо. Множимо (у),Українська мова,,,,Ранок,2019.0,9789667504465.0,Пригоди. Історії. Оповідання
Коваль Н. Н.,Вчимося читати і писати (у),Українська мова,,,,Ранок,2019.0,9789667504489.0,Пригоди. Історії. Оповідання
