Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"Ромащенко О.,  Буш М.,  Возіанова С.","Підліткам про головне: Все, що цікавить хлопців та дівчат",Українська,,,,А-БА-БА-ГА-ЛА-МА-ГА,2020.0,,Non-fiction для підлітків
Ментен Т.,Мій братик мумія і гробниця Ахнетута,Українська,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,9786175851807.0,Пригоди для підлітків
Бейкон Л.,Остання людина,Українська,,,,Vivat,2020.0,9789669821423.0,Пригоди для підлітків
Джером Д. Селінджер,Ловець у житі,Українська мова,,,,Клуб сімейного дозвілля,2015.0,9789661487832.0,Класична проза
Сульберг А.,Хто проти суперкрутих,Українська,,,,Видавництво Старого Лева,2016.0,9786176792345.0,Пригоди для підлітків
Анастасія Нікуліна,Сіль для моря або Білий кит,Українська мова,,,,Vivat,2017.0,9789669420831.0,Любовні романи для підлітків
Блум Дж.,"Ти тут, Боже? Це я, Маргарет",Українська,,,,Видавництво Старого Лева,2020.0,9786176798187.0,Любовні романи для підлітків
Сульберг А.,Суперкруті догралися,Українська,,,,Видавництво Старого Лева,2017.0,9786176793540.0,Пригоди для підлітків
Берд М.,Все починається в 13,російська,,,,Видавництво Старого Лева,2015.0,9786176791836.0,Зарубіжна проза для підлітків
Монтгомери Л.,Аня из Зелёных Мезонинов,російська,,,,Ранок,2020.0,9786170948441.0,Пригоди для підлітків
Елеонор Портер,Поллианна вырастает,російська,,,,Ранок,2020.0,9786170948519.0,Пригоди для підлітків
Єва Фьоллер,Золотий міст. Книга 2,Українська мова,,,,Ранок,2021.0,9786170963765.0,Фантастика. Фентезі для підлітків
Єва Фьоллер,Таємна брама. Книга 3,Українська мова,,,,Ранок,2021.0,9786170959997.0,Фантастика. Фентезі для підлітків
Вінн Джонс Д.,Повітряний замок,Українська,,,,Видавництво Старого Лева,2018.0,9789662909425.0,Пригоди для підлітків
Вебб Х.,"Детектив Мейзі Хітчинз, або Справа про кішку-привида. Книга 3",Українська мова,,,,BookChef,2019.0,9786177559633.0,Детективи для підлітків
Вебб Х.,"Детектив Мейзі Хітчінз, або Справа про вкрадений шестипенсовик. Книга 1",Українська мова,,,,BookChef,2017.0,9786177347605.0,Детективи для підлітків
Крамер С.,Абісаль,Українська мова,,,,BookChef,2020.0,9789669932457.0,Сучасна зарубіжна проза
Фріске К.,"Чарівна ""Книгарня бажань"". День народження",Українська,,,,Vivat,2020.0,9789669823151.0,Non-fiction для підлітків
Фріске К.,"Чарівна ""Книгарня бажань""",Українська,,,,Vivat,2020.0,9789669821454.0,Любовні романи для підлітків
Діана Вінн Джонс,Будинок безлічі шляхів,Українська,,,,Видавництво Старого Лева,2018.0,9786176794219.0,Фантастика. Фентезі для підлітків
Барбара Космовська,Буба. Сучасна європейська підліткова книга (мінімальний брак),Українська мова,,,,Видавничий дім Школа,2020.0,9789664296530.0,Зарубіжна проза для підлітків
Лариса Денисенко,Я і Конституція,Українська мова,,,,Видавництво Старого Лева,2019.0,9786176796732.0,Non-fiction для підлітків
Джессіка Парк,180 секунд,Українська,,,,BookChef,2020.0,9789669932594.0,Зарубіжна проза для підлітків
Гокинг С. и Л.,Джордж і скарби космосу,Українська,,,,Видавництво Старого Лева,2016.0,9786176792918.0,Фантастика. Фентезі для підлітків
Блайтон Э.,Славетна п'ятірка. кн.2. Нові пригоди славетної п'ятірки,Українська мова,,,,Фоліо,2020.0,9789660394896.0,Пригоди для підлітків
Блайтон Э.,Славетна п'ятірка. кн.1. П'ятеро на острові скарбів,Українська мова,,,,Фоліо,2020.0,9789660394896.0,Зарубіжна проза для підлітків
Гокинг С. и Л.,Джордж і Великий вибух,Українська,,,,Видавництво Старого Лева,2017.0,9786176793793.0,Фантастика. Фентезі для підлітків
Гокинг С. и Л.,Джордж і блакитний супутник,Українська,,,,Видавництво Старого Лева,2018.0,9786176795339.0,Пригоди для підлітків
Блек Х.,Жорстокий принц. Книга 1,Українська мова,,,,Vivat,2020.0,9789669820631.0,Книги жанру Фантастика. Фентезі. Містика
Андрій Бачинський,З Ейнштейном у рюкзаку,Українська,,,,Видавництво Старого Лева,2019.0,9786176797173.0,Пригоди для підлітків
Вінн Джонс Д.,Дев’ять життів Крістофера Чанта,Українська,,,,Видавництво Старого Лева,2019.0,9786176795667.0,Фантастика. Фентезі для підлітків
Андрій Кокотюха,Гімназист і Біла Ворона,Українська,,,,А-БА-БА-ГА-ЛА-МА-ГА,2019.0,,Детективи для підлітків
Сьюзен Хінтон,Аутсайдери,Українська мова,,,,Vivat,2018.0,9789669425133.0,Класична проза
Бурлака О.,ПОЦІЛУНОК БУВ НЕ ОСТАННІЙ,Українська,,,,Академія,2019.0,9789665805809.0,Любовні романи для підлітків
Опільський Ю.,Ідоли падуть. Золотий лев,Українська,,,,Знання,2019.0,9786170702746.0,Зарубіжна проза для підлітків
Сара Джанет Маас,Двір шипів і троянд,Українська мова,,,,Vivat,2021.0,9789669821331.0,Фантастика. Фентезі для підлітків
