Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Юрій Горліс-Горський,Холодний Яр (автентичне видання з академічними примітками),Українська мова,,,,Крила,2023.0,9786177916320,Класична проза
"Юрій Винничук,Степан Томашівський,Томаш з Рави Рутинець,Бенедикт Хмелевський,Самійло Величко",Чорт зна що. У кігтях Хапуна. Антологія,Українська мова,,,,Фоліо,2019.0,9789660388277,Сучасна українська проза
Юрій Винничук,Чорт зна що. Запропаща душа. Антологія Том 2,Українська мова,,,,Фоліо,2020.0,9789660388727,Класична проза
Юрій Винничук,Нічний репортер,Українська мова,,,,Фоліо,2019.0,9789660386693,Сучасна українська проза
Юрій Винничук,Місце для дракона (тв.),Українська мова,,,,Фоліо,2015.0,9789660385931,Сучасна українська проза
Юрій Винничук,Сестри крові,Українська мова,,,,Фоліо,2018.0,9789660382794,Сучасна українська проза
Юрій Винничук,Легенди Львова,Українська мова,,,,Фоліо,2018.0,9789660382220,"Байки, міфи, казки, фольклор"
Юрій Винничук,Антологія української містичної прози,Українська мова,,,,Фоліо,2018.0,9789660381100,Сучасна українська проза
Юрій Винничук,Житіє гаремноє,Українська мова,,,,Фоліо,2017.0,9789660376380,Історична проза
Юрій Винничук,Цензор снів,Українська мова,,,,Фоліо,2017.0,9789660376090,Сучасна українська проза
Юрій Винничук,Діви ночі (Жовта),Українська мова,,,,Фоліо,2016.0,9789660375529,Сучасна українська проза
Юрій Винничук,Весняні ігри в осінніх садах (нов. обл),Українська мова,,,,Фоліо,2016.0,9789660375512,Сучасна українська проза
Юрій Винничук,Аптекар (большой формат),російська,,,,Фоліо,2017.0,9789660373679,Сучасна українська проза
Юрій Винничук,Міфи та легенди українців,Українська мова,,,,Фоліо,2015.0,9789660371675,"Байки, міфи, казки, фольклор"
Юрій Винничук,Мальва Ланда,Українська мова,,,,Фоліо,2014.0,9789660368569,Сучасна українська проза
Юрій Винничук,Танго смерті,Українська мова,,,,Фоліо,2012.0,,Сучасна українська проза
Юрій Винничук,Алмази з Танжера,Українська мова,,,,Фабула,2023.0,9786175221068,Детективи
Юрій Винничук,Аґент Лилик,Українська мова,,,,Фабула,2019.0,9786175220405,Детективи
Юрій Винничук,Вілла Деккера,Українська мова,,,,Фабула,2019.0,9786175220016,Детективи
Юрій Винничук,Аптекар,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2023.0,9786175852521,Сучасна українська проза
Юрій Винничук,Мальва Ланда,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2023.0,9786175852514,Сучасна українська проза
Юрій Винничук,Танґо смерті,Українська мова,,,,А-БА-БА-ГА-ЛА-МА-ГА,2022.0,9786175852361,Сучасна українська проза
"Юрій Андрухович,Катерина Бабкіна,Олександр Бойченко,Возняк С., Сміт Д.,Сергій Жадан,Оксана Забужко,Кирпа Г.,Василь Кожелянко,Тарас Прохасько,Юрій Іздрик",25 есе про головне,Українська мова,,,,Лілея-НВ,2020.0,9789666685103,Есеїстика
Юрій Андрухович,Рекреації. Як ми вбили Пятраса,Українська мова,,,,Фабула,2017.0,9786170932099,Детективи
Юрій Андрухович,"Два романи (""Московіада"" і ""Перверзія"")",Українська мова,,,,Лілея-НВ,2014.0,9789666683093,Сучасна українська проза
Юрій Андрухович,Московіада,Українська мова,,,,Видавництво Старого Лева,2023.0,9789664480892,Поезія
Юрій Андрухович,Коханці Юстиції,Українська мова,,,,Видавництво 21,2019.0,9789669767929,Сучасна українська проза
Юрій Андрухович,Лексикон інтимних міст,Українська мова,,,,Видавництво 21,2021.0,9789662578119,Сучасна українська проза
Юрій Андрухович,Радіо ніч,Українська мова,,,,Видавництво 21,2021.0,9786178024055,Сучасна українська проза
Юрій Андрухович,Радіо ніч,Українська,,,,Видавництво 21,2021.0,9786177807123,Сучасна українська проза
Юрасова А.,"Симфония, трудная к исполнению",російська,,,,Саміт-книга,2020.0,9789669861221,Сучасна українська проза
Юрай Червенак,Богатир. Книга 2: Цариця драконів,Українська мова,,,,BookChef,2023.0,9786175481653,Книги жанру Фантастика. Фентезі. Містика
Юрай Червенак,Богатир. Книга 1. Сталеве жезло,Українська мова,,,,BookChef,2023.0,9786175481400,Книги жанру Фантастика. Фентезі. Містика
